1,0.160385,0.701405,0.13827
10,0.179905,0.68052,0.139565
11,0.164155,0.72803,0.10783
12,0.106935,0.74224,0.150815
13,0.171,0.688515,0.140505
14,0.163795,0.705715,0.13049
15,0.1748,0.689895,0.1303
16,0.156905,0.716555,0.12651
17,0.16022,0.718095,0.121665
18,0.17024,0.720105,0.109625
19,0.16449,0.6897,0.14579
2,0.1811,0.702485,0.116425
20,0.158725,0.709505,0.13178
21,0.148665,0.726155,0.12519
22,0.15213,0.704345,0.143535
23,0.18794,0.696065,0.11602
24,0.156395,0.7161,0.127525
25,0.17049,0.69976,0.129785
26,0.14908,0.692,0.158935
27,0.130175,0.743465,0.12634
28,0.15796,0.6897,0.152355
29,0.15935,0.736145,0.10449
3,0.207235,0.689945,0.102845
30,0.13791,0.72105,0.141005
4,0.152635,0.73059,0.11679
5,0.18506,0.69363,0.121325
6,0.15613,0.730245,0.11364
7,0.17046,0.70818,0.121325
8,0.167855,0.711155,0.12099
9,0.120505,0.74482,0.134695
